url,title,pageType,directAnswer,concreteFacts,citeLikelihood,mainFix
https://power-car.ru/,"Импорт авто и мото из Японии, Кореи, Китая — POWER Car",other,False,True,1,add_direct_answer
https://power-car.ru/quiz.html,Квиз: какие автомобили подходят именно тебе | POWER Car,other,False,False,0,add_direct_answer
https://power-car.ru/kalkulyator-rastamozhki.html,"Калькулятор растаможки авто из Японии, Кореи и Китая 2026 | POWER Car",other,False,True,2,add_direct_answer
https://power-car.ru/dostavka-po-rossii.html,Стоимость доставки авто по России от Владивостока 2026 | POWER Car,other,False,False,0,add_facts
https://power-car.ru/avto-iz-yaponii.html,Авто из Японии под заказ: дешёвый правый руль и кей-кары от 570 тыс ₽,landing,True,True,3,none
https://power-car.ru/avto-iz-korei.html,Леворульные кроссоверы и авто из Кореи под ключ: 1.5–2.5 млн ₽,landing,True,True,3,none
https://power-car.ru/avto-iz-kitaya.html,"Авто из Китая: BMW, Mercedes, электрокары | POWER Car",landing,True,True,3,none
https://power-car.ru/moto-iz-yaponii.html,"Купить б/у японский мотоцикл с аукционов BDS, JBA под заказ дёшево",landing,True,True,2,none
https://power-car.ru/import-avto-tomsk.html,База авто от 570к ₽ и мото от 250к ₽ в Томск — офис на Кирова,landing,True,True,2,none
https://power-car.ru/import-avto-novosibirsk.html,База авто и мото из Азии в Новосибирск — автовоз от 25 000 ₽,landing,True,True,2,none
https://power-car.ru/import-avto-moskva.html,"BMW и Mercedes из Азии в Москве от 1,8 млн ₽ — база лотов POWER Car",landing,True,True,2,none
https://power-car.ru/articles/garantiya-elektromobil-iz-kitaya.html,"Гарантия на электромобиль из Китая: что покрывает завод, а что — нет — POWER Car",article,True,True,3,none
https://power-car.ru/articles/kredit-trade-in-avto-iz-azii.html,Кредит и трейд-ин при покупке автомобиля из Азии: как это работает в 2026 году — POWER Car,article,True,True,2,none
https://power-car.ru/articles/osago-garantiya-pravorulnoe-avto.html,"ОСАГО, техосмотр и гарантия на праворульный автомобиль в 2026 году — POWER Car",article,True,True,3,none
https://power-car.ru/articles/top-avto-do-1-5-mln-iz-azii.html,"Топ-9 авто до 1,5 млн ₽ под ключ из Японии, Кореи и Китая (2026) — POWER Car",article,True,True,3,none
https://power-car.ru/articles/yaponiya-vs-koreya-vs-kitay-sravnenie.html,Япония vs Корея vs Китай: откуда выгоднее везти авто в 2026 году — POWER Car,article,True,True,3,none
https://power-car.ru/articles/toplivnyy-krizis-2026.html,Топливный кризис 2026: экономичные авто из Азии — POWER Car,article,True,True,2,none
https://power-car.ru/articles/kupit-keykar-iz-yaponii-2026.html,Купить кей-кар из Японии от 570 тыс рублей — POWER Car,article,True,True,3,none
https://power-car.ru/articles/raschet-utilsbora-2026.html,Льготный утильсбор 2026: ставки и расчет — POWER Car,article,True,True,3,none
https://power-car.ru/articles/mhev-myagkhkij-gibryd-raschet-2026.html,Что такое мягкий гибрид (MHEV) — POWER Car,article,True,True,3,none
https://power-car.ru/articles/vremennaya-propiska-dvfo-2026.html,Прописка в ДВФО для растаможки во Владивостоке — POWER Car,article,True,True,2,add_faq_block
https://power-car.ru/articles/swift-oplata-invoice-2026.html,Оплата SWIFT-инвойса за авто из Азии в 2026 — POWER Car,article,True,True,2,none
https://power-car.ru/articles/vygodny-vozrast-auto-import.html,Самый выгодный возраст авто для импорта в РФ — POWER Car,article,True,True,2,add_faq_block
https://power-car.ru/articles/moto-import-japan-2026.html,"Мотоцикл из Японии в 2026: утильсбор, пошлина, как привезти — POWER Car",article,True,True,3,none
https://power-car.ru/articles/china-export-180-days-2026.html,Правила экспорта авто из Китая 180 дней в 2026 — POWER Car,article,True,True,3,none
